time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
1580;0.672288;226.415;294.911;0.465829;5.03834;248.229;775.732;
1590;0.672833;225.981;295.969;0.464556;4.98183;247.961;776.03;
1600;0.673377;225.546;297.021;0.46329;4.92591;247.69;776.319;
1610;0.673919;225.109;298.068;0.46203;4.87055;247.416;776.599;
1620;0.67446;224.67;299.11;0.460777;4.81577;247.139;776.87;
1630;0.675;224.231;300.147;0.459529;4.76155;246.859;777.133;
1640;0.675539;223.79;301.179;0.458288;4.70789;246.577;777.387;
1650;0.676077;223.348;302.206;0.457052;4.6548;246.292;777.633;
1660;0.676614;222.905;303.228;0.455822;4.60225;246.004;777.872;
1670;0.67715;222.462;304.245;0.454599;4.55026;245.715;778.104;
1680;0.677685;222.018;305.258;0.453381;4.49882;245.423;778.328;
1690;0.678219;221.573;306.266;0.452168;4.44792;245.128;778.545;
1700;0.678752;221.128;307.269;0.450962;4.39756;244.832;778.756;
1710;0.679283;220.682;308.268;0.449761;4.34774;244.533;778.96;
1720;0.679814;220.236;309.263;0.448565;4.29844;244.233;779.158;
1730;0.680344;219.789;310.253;0.447375;4.24968;243.93;779.35;
1740;0.680873;219.342;311.24;0.446191;4.20143;243.626;779.537;
1750;0.681402;218.895;312.222;0.445012;4.1537;243.32;779.717;
1760;0.681929;218.448;313.2;0.443838;4.10649;243.012;779.893;
1770;0.682455;218.001;314.174;0.442669;4.05978;242.703;780.063;
1780;0.682981;217.554;315.144;0.441506;4.01358;242.392;780.228;
1790;0.683505;217.106;316.11;0.440348;3.96789;242.079;780.388;
1800;0.684029;216.659;317.073;0.439195;3.92268;241.765;780.543;
1810;0.684552;216.213;318.031;0.438047;3.87797;241.45;780.694;
1820;0.685074;215.766;318.986;0.436904;3.83375;241.133;780.841;
1830;0.685596;215.319;319.938;0.435766;3.79001;240.814;780.983;
1840;0.686116;214.873;320.885;0.434633;3.74674;240.495;781.121;
1850;0.686636;214.428;321.83;0.433504;3.70396;240.174;781.256;
1860;0.687155;213.982;322.77;0.432381;3.66164;239.852;781.386;
1870;0.687673;213.537;323.708;0.431262;3.61978;239.529;781.513;
1880;0.68819;213.093;324.641;0.430148;3.57839;239.205;781.636;
1890;0.688707;212.649;325.572;0.429039;3.53746;238.88;781.756;
1900;0.689223;212.206;326.499;0.427935;3.49697;238.554;781.873;
1910;0.689738;211.763;327.423;0.426835;3.45694;238.226;781.986;
1920;0.690252;211.321;328.344;0.425739;3.41734;237.898;782.096;
1930;0.690766;210.879;329.261;0.424648;3.37819;237.569;782.203;
1940;0.691279;210.438;330.176;0.423562;3.33947;237.239;782.308;
1950;0.691791;209.998;331.087;0.42248;3.30119;236.909;782.41;
1960;0.692302;209.559;331.996;0.421402;3.26332;236.577;782.509;
1970;0.692813;209.12;332.901;0.420329;3.22588;236.245;782.605;
1980;0.693323;208.682;333.803;0.419261;3.18886;235.912;782.699;
1990;0.693833;208.245;334.703;0.418196;3.15225;235.578;782.79;
2000;0.694341;207.809;335.599;0.417136;3.11605;235.244;782.88;
2010;0.694849;207.374;336.493;0.41608;3.08026;234.909;782.966;
2020;0.695357;206.94;337.383;0.415028;3.04487;234.573;783.051;
2030;0.695863;206.506;338.271;0.41398;3.00987;234.237;783.134;
2040;0.696369;206.074;339.156;0.412937;2.97527;233.9;783.215;
