time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
1860;0.494473;0.026913;440.358;0.500041;0.000842777;445.216;886.595;
1870;0.495096;0.0256171;440.923;0.499418;0.000797086;444.672;886.616;
1880;0.495718;0.0243837;441.488;0.498795;0.000753872;444.128;886.636;
1890;0.49634;0.0232098;442.054;0.498172;0.000713;443.584;886.656;
1900;0.496962;0.0220925;442.619;0.497549;0.000674344;443.04;886.676;
1910;0.497584;0.0210291;443.184;0.496927;0.000637783;442.495;886.695;
1920;0.498206;0.0200169;443.748;0.496304;0.000603203;441.951;886.715;
1930;0.498828;0.0190536;444.313;0.495682;0.000570498;441.407;886.734;
1940;0.49945;0.0181367;444.877;0.49506;0.000539566;440.863;886.754;
1950;0.500072;0.017264;445.442;0.494437;0.000510311;440.319;886.773;
1960;0.500694;0.0164333;446.006;0.493815;0.000482641;439.775;886.792;
1970;0.501315;0.0156428;446.57;0.493193;0.000456471;439.231;886.812;
1980;0.501937;0.0148903;447.134;0.492572;0.00043172;438.687;886.831;
1990;0.502558;0.014174;447.697;0.49195;0.000408311;438.143;886.85;
2000;0.503179;0.0134923;448.261;0.491329;0.000386171;437.599;886.868;
2010;0.5038;0.0128434;448.824;0.490707;0.000365231;437.055;886.887;
2020;0.504421;0.0122258;449.388;0.490086;0.000345426;436.511;886.906;
2030;0.505042;0.011638;449.951;0.489465;0.000326695;435.967;886.925;
2040;0.505663;0.0110784;450.514;0.488844;0.00030898;435.424;886.943;
2050;0.506284;0.0105458;451.077;0.488223;0.000292225;434.88;886.962;
2060;0.506904;0.0100389;451.639;0.487602;0.000276378;434.336;886.98;
2070;0.507525;0.00955637;452.202;0.486981;0.00026139;433.793;886.999;
2080;0.508145;0.00909707;452.765;0.486361;0.000247215;433.249;887.017;
2090;0.508765;0.00865989;453.327;0.48574;0.000233809;432.705;887.036;
2100;0.509386;0.00824376;453.889;0.48512;0.000221129;432.162;887.054;
2110;0.510006;0.00784766;454.451;0.4845;0.000209137;431.619;887.072;
2120;0.510625;0.00747063;455.013;0.48388;0.000197795;431.075;887.09;
2130;0.511245;0.00711174;455.575;0.48326;0.000187068;430.532;887.109;
2140;0.511865;0.00677012;456.137;0.482641;0.000176923;429.989;887.127;
2150;0.512484;0.00644495;456.698;0.482021;0.000167327;429.446;887.145;
2160;0.513103;0.00613542;457.259;0.481402;0.000158252;428.903;887.163;
2170;0.513723;0.00584078;457.821;0.480783;0.00014967;428.36;887.181;
2180;0.514342;0.00556032;458.382;0.480164;0.000141552;427.817;887.199;
2190;0.51496;0.00529335;458.943;0.479545;0.000133875;427.274;887.217;
2200;0.515579;0.00503922;459.504;0.478926;0.000126614;426.732;887.235;
2210;0.516198;0.00479732;460.064;0.478307;0.000119746;426.189;887.253;
2220;0.516816;0.00456704;460.625;0.477689;0.000113252;425.647;887.271;
2230;0.517434;0.00434784;461.185;0.477071;0.000107109;425.104;887.289;
2240;0.518053;0.00413918;461.746;0.476452;0.000101299;424.562;887.306;
2250;0.518671;0.00394056;462.306;0.475834;9.58047e-05;424.02;887.324;
2260;0.519288;0.00375148;462.866;0.475217;9.06081e-05;423.478;887.342;
2270;0.519906;0.00357149;463.426;0.474599;8.56933e-05;422.936;887.36;
2280;0.520523;0.00340015;463.985;0.473982;8.10451e-05;422.394;887.377;
2290;0.521141;0.00323705;464.545;0.473364;7.66489e-05;421.852;887.395;
2300;0.521758;0.00308178;465.104;0.472747;7.24912e-05;421.311;887.413;
2310;0.522375;0.00293398;465.664;0.47213;6.85589e-05;420.769;887.43;
2320;0.522992;0.00279328;466.223;0.471513;6.48399e-05;420.228;887.448;
2330;0.523608;0.00265933;466.782;0.470897;6.13226e-05;419.687;887.466;
2340;0.524225;0.00253183;467.341;0.47028;5.79961e-05;419.145;887.483;
2350;0.524841;0.00241044;467.899;0.469664;5.485e-05;418.605;887.501;
2360;0.525457;0.00229489;468.458;0.469048;5.18745e-05;418.064;887.518;
2370;0.526073;0.00218489;469.016;0.468432;4.90603e-05;417.523;887.536;
2380;0.526689;0.00208017;469.574;0.467817;4.63989e-05;416.982;887.553;
2390;0.527304;0.00198047;470.132;0.467201;4.38817e-05;416.442;887.571;
2400;0.52792;0.00188557;470.69;0.466586;4.15011e-05;415.902;887.588;
2410;0.528535;0.00179522;471.248;0.465971;3.92496e-05;415.361;887.606;
